ORDER_NUM,TRX_DT,RAW_TRX_DT,PRICE,CALC_VALUE,CALC_FORMULA,EXCEL_FORMULA,MEAN,SQUARE_OF_DIFF
"0","2020/01/17","1/17/2020 12:00:00 AM","$11.780","0.0128","Natural Logarithm ($11.7800 / $11.6300)","=ln(D460/D459)","=SUM(G$3:G$506)/COUNT(G$3:G$506)","=(G460-H460)*(G460-H460)"
"0","2020/01/24","1/24/2020 12:00:00 AM","$11.810","0.0025","Natural Logarithm ($11.8100 / $11.7800)","=ln(D461/D460)","=SUM(G$3:G$506)/COUNT(G$3:G$506)","=(G461-H461)*(G461-H461)"
"0","2020/01/31","1/31/2020 12:00:00 AM","$12.085","0.0230","Natural Logarithm ($12.0850 / $11.8100)","=ln(D462/D461)","=SUM(G$3:G$506)/COUNT(G$3:G$506)","=(G462-H462)*(G462-H462)"
"0","2020/02/07","2/7/2020 12:00:00 AM","$12.070","-0.0012","Natural Logarithm ($12.0700 / $12.0850)","=ln(D463/D462)","=SUM(G$3:G$506)/COUNT(G$3:G$506)","=(G463-H463)*(G463-H463)"
"0","2020/02/14","2/14/2020 12:00:00 AM","$11.690","-0.0320","Natural Logarithm ($11.6900 / $12.0700)","=ln(D464/D463)","=SUM(G$3:G$506)/COUNT(G$3:G$506)","=(G464-H464)*(G464-H464)"
"0","2020/02/21","2/21/2020 12:00:00 AM","$11.695","0.0004","Natural Logarithm ($11.6950 / $11.6900)","=ln(D465/D464)","=SUM(G$3:G$506)/COUNT(G$3:G$506)","=(G465-H465)*(G465-H465)"
"0","2020/02/28","2/28/2020 12:00:00 AM","$10.540","-0.1040","Natural Logarithm ($10.5400 / $11.6950)","=ln(D466/D465)","=SUM(G$3:G$506)/COUNT(G$3:G$506)","=(G466-H466)*(G466-H466)"
"0","2020/03/06","3/6/2020 12:00:00 AM","$11.240","0.0643","Natural Logarithm ($11.2400 / $10.5400)","=ln(D467/D466)","=SUM(G$3:G$506)/COUNT(G$3:G$506)","=(G467-H467)*(G467-H467)"
"0","2020/03/13","3/13/2020 12:00:00 AM","$9.530","-0.1650","Natural Logarithm ($9.5300 / $11.2400)","=ln(D468/D467)","=SUM(G$3:G$506)/COUNT(G$3:G$506)","=(G468-H468)*(G468-H468)"
"0","2020/03/20","3/20/2020 12:00:00 AM","$7.990","-0.1763","Natural Logarithm ($7.9900 / $9.5300)","=ln(D469/D468)","=SUM(G$3:G$506)/COUNT(G$3:G$506)","=(G469-H469)*(G469-H469)"
"0","2020/03/27","3/27/2020 12:00:00 AM","$8.300","0.0381","Natural Logarithm ($8.3000 / $7.9900)","=ln(D470/D469)","=SUM(G$3:G$506)/COUNT(G$3:G$506)","=(G470-H470)*(G470-H470)"
"0","2020/04/03","4/3/2020 12:00:00 AM","$7.150","-0.1491","Natural Logarithm ($7.1500 / $8.3000)","=ln(D471/D470)","=SUM(G$3:G$506)/COUNT(G$3:G$506)","=(G471-H471)*(G471-H471)"
"0","2020/04/17","4/17/2020 12:00:00 AM","$8.270","0.1455","Natural Logarithm ($8.2700 / $7.1500)","=ln(D472/D471)","=SUM(G$3:G$506)/COUNT(G$3:G$506)","=(G472-H472)*(G472-H472)"
"0","2020/04/24","4/24/2020 12:00:00 AM","$8.270","0.0000","Natural Logarithm ($8.2700 / $8.2700)","=ln(D473/D472)","=SUM(G$3:G$506)/COUNT(G$3:G$506)","=(G473-H473)*(G473-H473)"
"0","2020/05/01","5/1/2020 12:00:00 AM","$8.940","0.0779","Natural Logarithm ($8.9400 / $8.2700)","=ln(D474/D473)","=SUM(G$3:G$506)/COUNT(G$3:G$506)","=(G474-H474)*(G474-H474)"
"0","2020/05/08","5/8/2020 12:00:00 AM","$8.850","-0.0101","Natural Logarithm ($8.8500 / $8.9400)","=ln(D475/D474)","=SUM(G$3:G$506)/COUNT(G$3:G$506)","=(G475-H475)*(G475-H475)"
"0","2020/05/15","5/15/2020 12:00:00 AM","$7.620","-0.1496","Natural Logarithm ($7.6200 / $8.8500)","=ln(D476/D475)","=SUM(G$3:G$506)/COUNT(G$3:G$506)","=(G476-H476)*(G476-H476)"
"0","2020/05/22","5/22/2020 12:00:00 AM","$8.190","0.0721","Natural Logarithm ($8.1900 / $7.6200)","=ln(D477/D476)","=SUM(G$3:G$506)/COUNT(G$3:G$506)","=(G477-H477)*(G477-H477)"
"0","2020/05/29","5/29/2020 12:00:00 AM","$8.680","0.0581","Natural Logarithm ($8.6800 / $8.1900)","=ln(D478/D477)","=SUM(G$3:G$506)/COUNT(G$3:G$506)","=(G478-H478)*(G478-H478)"
"0","2020/06/05","6/5/2020 12:00:00 AM","$9.700","0.1111","Natural Logarithm ($9.7000 / $8.6800)","=ln(D479/D478)","=SUM(G$3:G$506)/COUNT(G$3:G$506)","=(G479-H479)*(G479-H479)"
"0","2020/06/12","6/12/2020 12:00:00 AM","$8.570","-0.1239","Natural Logarithm ($8.5700 / $9.7000)","=ln(D480/D479)","=SUM(G$3:G$506)/COUNT(G$3:G$506)","=(G480-H480)*(G480-H480)"
"0","2020/06/19","6/19/2020 12:00:00 AM","$8.205","-0.0435","Natural Logarithm ($8.2050 / $8.5700)","=ln(D481/D480)","=SUM(G$3:G$506)/COUNT(G$3:G$506)","=(G481-H481)*(G481-H481)"
"0","2020/06/26","6/26/2020 12:00:00 AM","$7.880","-0.0404","Natural Logarithm ($7.8800 / $8.2050)","=ln(D482/D481)","=SUM(G$3:G$506)/COUNT(G$3:G$506)","=(G482-H482)*(G482-H482)"
"0","2020/07/10","7/10/2020 12:00:00 AM","$8.100","0.0275","Natural Logarithm ($8.1000 / $7.8800)","=ln(D483/D482)","=SUM(G$3:G$506)/COUNT(G$3:G$506)","=(G483-H483)*(G483-H483)"
"0","2020/07/17","7/17/2020 12:00:00 AM","$8.210","0.0135","Natural Logarithm ($8.2100 / $8.1000)","=ln(D484/D483)","=SUM(G$3:G$506)/COUNT(G$3:G$506)","=(G484-H484)*(G484-H484)"
"0","2020/07/24","7/24/2020 12:00:00 AM","$8.375","0.0199","Natural Logarithm ($8.3750 / $8.2100)","=ln(D485/D484)","=SUM(G$3:G$506)/COUNT(G$3:G$506)","=(G485-H485)*(G485-H485)"
"0","2020/07/31","7/31/2020 12:00:00 AM","$8.120","-0.0309","Natural Logarithm ($8.1200 / $8.3750)","=ln(D486/D485)","=SUM(G$3:G$506)/COUNT(G$3:G$506)","=(G486-H486)*(G486-H486)"
"0","2020/08/07","8/7/2020 12:00:00 AM","$8.240","0.0147","Natural Logarithm ($8.2400 / $8.1200)","=ln(D487/D486)","=SUM(G$3:G$506)/COUNT(G$3:G$506)","=(G487-H487)*(G487-H487)"
"0","2020/08/14","8/14/2020 12:00:00 AM","$8.295","0.0067","Natural Logarithm ($8.2950 / $8.2400)","=ln(D488/D487)","=SUM(G$3:G$506)/COUNT(G$3:G$506)","=(G488-H488)*(G488-H488)"
"0","2020/08/21","8/21/2020 12:00:00 AM","$7.650","-0.0809","Natural Logarithm ($7.6500 / $8.2950)","=ln(D489/D488)","=SUM(G$3:G$506)/COUNT(G$3:G$506)","=(G489-H489)*(G489-H489)"
